date,season,time_slot,home_id,sanctioned_load_watts,temperature_c,humidity_pct,appliance_name,category,priority,quantity,power_watts_each,total_power_watts,usage_hours,units_consumed,simultaneous_load_kw,optimized_action,reason,bill_amount_rs,target
2025-01-01,Winter,Afternoon,HOME_003,2000,24.0,47,Fridge,always_on,Essential,1,150,150,24.0,3.6,1.46,No optimization needed,Fridge is an essential appliance.,20.88,No_Action
2025-01-01,Winter,Afternoon,HOME_003,2000,24.0,47,Mixer,delay_sensitive,Non-essential,1,750,750,1.1,0.825,1.46,No optimization needed,Usage within normal comfort and load range.,4.78,No_Action
2025-01-01,Winter,Afternoon,HOME_003,2000,24.0,47,Washing Machine,delay_sensitive,Non-essential,1,500,500,0.3,0.15,1.46,No optimization needed,Usage within normal comfort and load range.,0.87,No_Action
2025-01-01,Winter,Afternoon,HOME_003,2000,24.0,47,Water Purifier,always_on,Essential,1,50,50,1.3,0.065,1.46,No optimization needed,Water Purifier is an essential appliance.,0.38,No_Action
2025-01-01,Winter,Afternoon,HOME_003,2000,24.0,47,WiFi,always_on,Essential,1,10,10,24.0,0.24,1.46,No optimization needed,WiFi is an essential appliance.,1.39,No_Action
2025-01-01,Winter,Evening,HOME_003,2000,18.0,63,Cooler,cool,Non-essential,1,200,200,3.0,0.6,1.07,Suggest turning OFF Cooler - temperature comfortable (18.0°C),Ambient temperature 18.0°C is below the 24°C comfort threshold for cooling.,3.48,Suggest_OFF
2025-01-01,Winter,Evening,HOME_003,2000,18.0,63,Fridge,always_on,Essential,1,150,150,24.0,3.6,1.07,No optimization needed,Fridge is an essential appliance.,20.88,No_Action
2025-01-01,Winter,Evening,HOME_003,2000,18.0,63,Lights,light,Non-essential,5,9,45,2.1,0.095,1.07,No optimization needed,Usage within normal comfort and load range.,0.55,No_Action
2025-01-01,Winter,Evening,HOME_003,2000,18.0,63,TV,neutral,Non-essential,1,120,120,2.5,0.3,1.07,No optimization needed,Usage within normal comfort and load range.,1.74,No_Action
2025-01-01,Winter,Evening,HOME_003,2000,18.0,63,Washing Machine,delay_sensitive,Non-essential,1,500,500,0.3,0.15,1.07,No optimization needed,Usage within normal comfort and load range.,0.87,No_Action
2025-01-01,Winter,Evening,HOME_003,2000,18.0,63,Water Purifier,always_on,Essential,1,50,50,1.2,0.06,1.07,No optimization needed,Water Purifier is an essential appliance.,0.35,No_Action
2025-01-01,Winter,Evening,HOME_003,2000,18.0,63,WiFi,always_on,Essential,1,10,10,24.0,0.24,1.07,No optimization needed,WiFi is an essential appliance.,1.39,No_Action
2025-01-01,Winter,Morning,HOME_003,2000,24.0,54,Fridge,always_on,Essential,1,150,150,24.0,3.6,0.78,No optimization needed,Fridge is an essential appliance.,20.88,No_Action
2025-01-01,Winter,Morning,HOME_003,2000,24.0,54,Lights,light,Non-essential,8,9,72,4.2,0.302,0.78,No optimization needed,Usage within normal comfort and load range.,1.75,No_Action
2025-01-01,Winter,Morning,HOME_003,2000,24.0,54,Washing Machine,delay_sensitive,Non-essential,1,500,500,0.7,0.35,0.78,No optimization needed,Usage within normal comfort and load range.,2.03,No_Action
